,Adur_mean,Aisdur_mean,Bdur_mean,Cdur_mean,Cisdur_mean,Ddur_mean,Disdur_mean,Edur_mean,Fdur_mean,Fisdur_mean,Gdur_mean,Gisdur_mean,Adur_std,Aisdur_std,Bdur_std,Cdur_std,Cisdur_std,Ddur_std,Disdur_std,Edur_std,Fdur_std,Fisdur_std,Gdur_std,Gisdur_std
chroma_cens_D#,0.16133975610136986,0.2078389160335064,0.36213901937007903,0.19621064588427545,0.18869752809405327,0.30395523797382007,0.42059170951445896,0.1603630691766739,0.12450403794646263,0.12455119974911213,0.1789526581764221,0.31667829751968385,0.08356269399015057,0.06734081129852454,0.07044270431978845,0.06813920693639983,0.0472568273472734,0.09777353757893345,0.07343735383316576,0.05559167071764502,0.0761309241832197,0.08411380245124198,0.05978535445683329,0.08182014584655897
chroma_cens_E,0.36348057687282564,0.2768888294696808,0.26515710949897764,0.26789458394050597,0.2288792423903942,0.28061469441110437,0.24181773141026497,0.3023588478565216,0.2374240905046463,0.20491866022348404,0.22052344232797622,0.19825238436460496,0.05915646164953333,0.062190659733480445,0.05533206858010022,0.05224932933828828,0.06868111945825026,0.07085469810747186,0.06902717178821971,0.03216854147645207,0.05953475569608998,0.06533859980830804,0.06544657943499187,0.06887876440548711
chroma_cens_F,0.2201939806342125,0.39798676371574404,0.21255871206521987,0.16171359941363334,0.27263002246618273,0.2026958472349427,0.18398994704087576,0.14269665703177453,0.36513674408197405,0.25654796063899993,0.19947183281183242,0.18044613748788835,0.04771603702452438,0.0601778308485889,0.04450122625333048,0.040213638806049105,0.05497923843775886,0.06437731616333711,0.048950632578691394,0.05918674787364846,0.060060585879979915,0.03408511446805207,0.04310328406625429,0.04801109585923146
chroma_cens_F#,0.13059212490916253,0.18855221197009087,0.3789357006549835,0.16533823162317277,0.14628274813294412,0.27425631880760193,0.14519177749752998,0.10516482442617417,0.13453859984874725,0.42520807683467865,0.23831721544265747,0.1430516079068184,0.03916892567783532,0.047198049430435984,0.04519642490634468,0.052309928844676466,0.05781422241032758,0.04168733955868348,0.05242352802352171,0.05666372140300185,0.031511411790606146,0.05749786671578529,0.029219333907090472,0.04688355410290814
chroma_cens_G,0.19347843453288077,0.19275627732276918,0.2456301011145115,0.38906491100788115,0.1814052678644657,0.20364034175872803,0.265150785446167,0.18399698436260223,0.2064095824956894,0.17119769975543023,0.40257773697376253,0.24550075680017472,0.045971712167126075,0.04284224120920368,0.07389339311805253,0.0853659388306123,0.05656064845448767,0.05974290460057268,0.07959101564697994,0.05552238534856745,0.045928885379853235,0.028570612248583465,0.06494839491945513,0.059796854900422775
chroma_cens_G#,0.3879598259925842,0.299871526658535,0.26213883310556413,0.2942606121301651,0.4254578500986099,0.26738850569183176,0.32550156240661937,0.5231191396713257,0.3240232229232788,0.34996078014373777,0.37383309900760653,0.530144852399826,0.04519360778709468,0.05581811875637538,0.05947733989782359,0.056658522618486765,0.048576929830189894,0.07969421159662618,0.06304682600181623,0.07710451818966457,0.03626988503127624,0.04667081036673367,0.0364818332422913,0.0973295311106666
chroma_cens_A,0.48884958028793335,0.20266207456588745,0.1460410825908184,0.18989000022411345,0.23546838611364365,0.31886517053300684,0.20413756867249808,0.2143100954592228,0.39042271971702575,0.21118845641613007,0.2261880651116371,0.2406460464000702,0.0480792573698703,0.04069346345331243,0.040785394175462904,0.05713296981467254,0.035273927037819806,0.05943643823648734,0.06281053787902705,0.06794192620525678,0.06341429248388882,0.04513878298816591,0.05887249743497669,0.062070996260332634
chroma_cens_A#,0.16393879652023316,0.4157347768545151,0.163420919328928,0.13040162003599107,0.15347338542342187,0.16316131671721285,0.4268694619337718,0.1513802759349346,0.14582354351878166,0.25572330057621,0.14445974081754684,0.13212957307696344,0.037105617107566796,0.03529878590786675,0.04540984868066983,0.07279132129010071,0.030298019352653544,0.07181793009979277,0.07280746885108416,0.059602658285564415,0.06505531916543093,0.05386371361808967,0.06218898993687982,0.04604018599241088
chroma_cens_B,0.22379615753889084,0.17018169946968556,0.42137077152729036,0.2071991853415966,0.23181696981191635,0.15598403645510023,0.19603112464149794,0.48794815838336947,0.1901065319776535,0.1860349252820015,0.32412937730550767,0.20422879755496978,0.04674730310411966,0.07621304549174475,0.05160409415023575,0.05860558998502228,0.038792331909841916,0.081187074167105,0.08239702473652949,0.05877192040355171,0.05119080326070028,0.04821946266723226,0.08314074119366129,0.06005854349744771
tonnetz_1,0.15016312765217912,-0.06951247837108834,0.053453402285259945,0.0523210733870486,-0.12278919536174777,0.1538136741710069,-0.20800032459878529,-0.0345893746786518,0.06745134571283676,-0.08492836071745807,0.12970664791112418,-0.14768913406543452,0.03576711271313774,0.05346898643244808,0.01211121402116881,0.026175254722443645,0.058446339470528914,0.07984858145642122,0.07974287289960116,0.0452797887523087,0.033528899554187565,0.03372908995651731,0.03952863565485865,0.05810829625929299
tonnetz_2,-0.0681748079144823,0.1614448487690277,-0.17004666542822292,0.1927767387907579,-0.06207227454495775,0.011365615887030734,0.11352269972653335,-0.17506408742657084,0.12258547714174803,-0.14063576736475597,0.028657622515012922,-0.05062042473473345,0.020718067205718282,0.060828253955411825,0.039962862568288696,0.09290908836435094,0.06527270340486288,0.020453711588411458,0.049802266310977214,0.048347887187630056,0.04545723293797148,0.030623265035237213,0.03766436392332587,0.045600131867842585
tonnetz_3,-0.262626173967729,-0.171090159963351,0.22330780970034506,0.10380829614849027,-0.18998384545251681,-0.10146529519724146,0.1762817284662255,0.1691719295841167,-0.20204267204972023,-0.13922469144570687,0.19034744419506716,0.03575951946011527,0.051382836485868284,0.07925976981405779,0.04096367263912551,0.08560575726556767,0.06517708035341438,0.05754418101172192,0.09308907698632692,0.03760483121832228,0.07133561608917,0.027738653379825867,0.09846734047538691,0.032090549204731374
tonnetz_4,0.11682061242521632,-0.19415334299672474,-0.05994529029878352,0.24891511820416756,0.14397225163032942,-0.19306040817517214,-0.23940757385328978,0.2596778991119205,0.19047600513585983,-0.17282805249793504,-0.08181401194538955,0.2711174094321901,0.02695461214977904,0.019019065344964805,0.043718215255787514,0.1073299020093389,0.06342765380026555,0.10970300872425309,0.08508729973804785,0.10389875113206092,0.05135595063154522,0.03986938580629794,0.04639010374337158,0.0851420356887187
